,order_id,season,girl,su_id,order_type,bill_zip,adventurefuls,dosidos,lemonups,samoas,savannahs,smores,tagalongs,thinmints,toffeetastic,trefoils,donation,grand_total,Median_income_dollars
1140,202262144,2022,47692,631,In-Person Delivery,28104,0,1,0,4,0,1,1,3,0,1,0,11,"108,599"
1141,202264265,2022,75974,681,Donation,23227,0,0,0,0,0,0,0,0,0,0,5,5,
1142,201901083,2019,15117,632,Cookies In Hand,28104,0,0,0,0,0,0,1,1,0,0,0,2,
1143,202019488,2020,28263,638,In-Person Delivery,29651,0,1,0,0,0,0,2,1,0,0,0,4,
1144,202260416,2022,91814,643,Shipped,77469,0,0,0,0,0,0,0,4,0,0,0,4,
1145,202165455,2021,87582,621,In-Person Delivery,28027,0,0,0,2,0,0,2,1,0,0,0,5,"77,367"
1146,201919482,2019,34537,700,In-Person Delivery,28025,0,0,0,2,0,0,1,1,0,0,0,4,
1147,202158752,2021,52766,634,In-Person Delivery,28054,0,0,1,2,0,0,2,1,0,0,0,6,
1148,202014615,2020,65040,632,In-Person Delivery,28269,0,0,0,0,0,0,0,2,0,2,0,4,"68,636"
1149,202134884,2021,65888,692,In-Person Delivery,28269,0,0,0,0,0,0,2,0,2,2,0,6,"68,636"
1150,202135595,2021,29223,622,Shipped with Donation,10021,0,8,5,0,0,2,0,5,0,0,5,25,
1151,201907926,2019,32824,631,Cookies In Hand,28036,0,1,0,0,0,0,0,1,0,1,0,3,
1152,202024819,2020,80459,622,In-Person Delivery,37327,0,0,1,0,0,0,1,1,0,1,0,4,
1153,201916539,2019,91337,681,In-Person Delivery,28104,0,0,0,2,2,2,2,2,0,0,0,10,
1154,202027752,2020,61343,632,In-Person Delivery,28105,0,0,0,0,0,0,0,0,0,1,0,1,"86,463"
1155,202163338,2021,86440,632,In-Person Delivery,28205,0,0,0,1,0,0,0,0,0,1,0,2,"56,196"
1156,202147749,2021,24828,649,In-Person Delivery with Donation,28205,0,0,0,0,0,0,0,2,0,2,1,5,"56,196"
1157,201909163,2019,94899,683,In-Person Delivery,28173,0,0,0,5,0,0,0,0,0,0,0,5,
1158,202223674,2022,21332,642,In-Person Delivery,28278,0,1,0,1,0,0,0,6,1,2,0,11,"101,432"
1159,202012231,2020,62348,692,Donation,28104,0,0,0,0,0,0,0,0,0,0,4,4,"108,599"
1160,202217817,2022,556360,631,Cookies In Hand,28078,1,0,0,1,0,1,0,1,0,0,0,4,"101,752"
1161,202143441,2021,30959,632,In-Person Delivery,28262,0,0,2,0,0,0,0,0,1,0,0,3,"57,371"
1162,202149243,2021,36257,683,In-Person Delivery,28277,0,3,0,3,0,0,4,0,0,0,0,10,"105,672"
1163,202016583,2020,62632,681,In-Person Delivery with Donation,28305,0,1,0,1,0,1,1,1,0,0,1,6,
1164,202247553,2022,25054,631,In-Person Delivery with Donation,28078,1,1,1,1,0,1,1,1,1,1,1,10,"101,752"
1165,202018229,2020,11786,631,Donation,29063,0,0,0,0,0,0,0,0,0,0,12,12,
1166,201907089,2019,19689,643,Shipped,28277,0,0,0,2,0,0,3,0,0,0,0,5,
1167,202236548,2022,28116,649,In-Person Delivery,28209,0,0,1,8,0,2,0,6,0,4,0,21,"82,942"
1168,202264442,2022,32404,632,Shipped,55379,1,0,1,2,0,0,0,0,0,1,0,5,
1169,202220258,2022,491360,631,Cookies In Hand,28216,0,0,40,0,0,0,0,0,0,0,0,40,"50,347"
1170,202200590,2022,513360,631,Cookies In Hand,28036,0,1,1,0,0,0,0,0,0,1,0,3,"116,213"
1171,202155228,2021,58916,634,In-Person Delivery,28210,0,0,1,0,0,0,1,1,0,0,0,3,"75,703"
1172,201903362,2019,92142,631,Cookies In Hand,28078,0,0,0,2,0,0,0,0,0,0,0,2,
1173,202203062,2022,18248,622,Cookies In Hand,28206,0,0,0,2,0,0,0,0,0,0,0,2,"33,718"
1174,202132981,2021,83404,643,In-Person Delivery,28277,0,0,0,1,0,0,0,2,0,0,0,3,"105,672"
1175,202112279,2021,18436,692,In-Person Delivery,28216,0,0,0,3,0,1,1,2,0,0,0,7,"50,347"
1176,201903442,2019,26156,621,Cookies In Hand,28269,0,0,0,0,0,0,0,1,1,0,0,2,
1177,201902547,2019,12286,642,In-Person Delivery,28269,0,1,0,0,0,1,1,0,0,1,0,4,
1178,202017385,2020,75583,631,Donation,28226,0,0,0,0,0,0,0,0,0,0,5,5,"103,103"
1179,202121513,2021,52341,681,In-Person Delivery,28104,0,0,0,0,0,0,1,1,0,1,0,3,"108,599"
1180,201909095,2019,35351,682,In-Person Delivery,28079,0,1,0,1,0,0,0,0,0,1,0,3,
1181,202136916,2021,18133,692,Shipped with Donation,44135,0,0,1,0,0,0,0,1,0,2,2,6,
1182,201907776,2019,56435,638,Cookies In Hand,28031,0,0,0,0,0,0,1,0,1,0,0,2,
1183,201919281,2019,2594,682,In-Person Delivery,27534,0,0,0,2,0,0,0,2,1,4,0,9,
1184,202011708,2020,79098,621,Donation,28269,0,0,0,0,0,0,0,0,0,0,25,25,"68,636"
1185,202138456,2021,33359,692,In-Person Delivery,29708,0,0,0,2,0,0,0,3,0,0,0,5,"112,368"
1186,202025694,2020,57855,632,Shipped,28025,0,0,8,0,0,0,0,0,0,0,0,8,"58,257"
1187,202161036,2021,25599,661,In-Person Delivery,28027,0,2,0,2,0,0,1,2,0,0,0,7,"77,367"
1188,202152042,2021,21503,631,Shipped,1913,0,1,2,0,0,0,0,0,2,1,0,6,
1189,202109892,2021,19360,692,Cookies In Hand,29732,0,4,0,0,0,0,0,0,0,1,0,5,"67,037"
1190,201907233,2019,28062,642,In-Person Delivery,28173,0,0,0,0,2,0,2,0,0,0,0,4,
1191,202130789,2021,27135,691,Shipped,43935,0,0,0,1,0,0,1,4,0,0,0,6,
1192,201920676,2019,74238,631,In-Person Delivery with Donation,28213,0,1,0,1,1,0,0,1,0,0,2,6,
1193,202241165,2022,78008,683,In-Person Delivery with Donation,29707,1,0,0,1,0,0,1,0,0,0,7,10,
1194,202232661,2022,27483,637,Shipped,37830,0,0,0,0,0,0,2,2,0,0,0,4,
1195,202246925,2022,64055,632,In-Person Delivery,28210,2,2,0,0,0,0,0,2,0,0,0,6,"75,703"
1196,202129579,2021,60832,649,In-Person Delivery,28277,0,0,0,3,0,0,1,2,0,0,0,6,"105,672"
1197,202244315,2022,75011,631,In-Person Delivery,02460,0,0,2,2,0,0,0,2,0,0,0,6,
1198,202245640,2022,71289,637,Shipped,28403,0,0,1,1,0,0,2,2,0,0,0,6,
1199,202218473,2022,19568,649,Cookies In Hand,28105,0,2,0,0,0,0,0,2,2,0,0,6,"86,463"
1200,201919763,2019,19846,642,In-Person Delivery with Donation,28203,0,1,0,1,0,0,1,1,0,1,5,10,
1201,202128235,2021,35554,642,In-Person Delivery,28105,0,3,2,0,0,0,0,3,0,0,0,8,"86,463"
1202,202021965,2020,38990,692,Shipped,28027,0,1,0,1,0,0,2,0,0,0,0,4,"77,367"
1203,202139761,2021,58400,692,In-Person Delivery,29720,0,0,0,1,0,0,0,1,0,0,0,2,
1204,202130114,2021,16477,637,In-Person Delivery,28210,0,0,1,1,0,1,0,1,0,0,0,4,"75,703"
1205,202253011,2022,51355,681,In-Person Delivery,28665,5,0,0,5,0,0,5,5,0,0,0,20,
1206,202164027,2021,18266,643,In-Person Delivery,28027,0,0,0,0,0,1,0,1,1,0,0,3,"77,367"
1207,201905542,2019,99870,681,In-Person Delivery,34119,0,0,0,1,0,0,1,4,0,0,0,6,
1208,202253017,2022,28243,631,In-Person Delivery with Donation,28216,2,4,2,1,0,0,2,2,0,2,1,16,"50,347"
1209,202159936,2021,57518,632,Shipped,28269,0,0,0,0,0,0,0,0,1,3,0,4,"68,636"
1210,202006674,2020,30919,638,In-Person Delivery,27540,0,0,2,1,0,0,2,2,0,0,0,7,
1211,202153223,2021,88173,622,Shipped,22206,0,0,0,1,0,0,0,4,0,2,0,7,
1212,202157939,2021,68023,681,Shipped,27858,0,0,0,7,0,0,0,0,0,0,0,7,
1213,202146838,2021,68622,637,In-Person Delivery,28269,0,0,1,0,0,2,3,2,0,0,0,8,"68,636"
1214,202218723,2022,29360,649,Cookies In Hand,28210,1,0,0,2,0,0,0,1,0,0,0,4,"75,703"
1215,202243412,2022,21260,661,In-Person Delivery,28023,0,0,0,5,0,0,0,5,0,0,0,10,"52,424"
1216,202119394,2021,6016,683,In-Person Delivery,28173,0,10,0,10,0,0,0,10,0,0,0,30,"130,705"
1217,202023861,2020,7084,649,In-Person Delivery,28104,0,2,0,0,0,0,0,0,0,2,0,4,"108,599"
1218,202207960,2022,34300,643,In-Person Delivery,28277,0,0,0,0,0,0,0,1,0,0,0,1,"105,672"
1219,202247074,2022,35558,681,Donation,29715,0,0,0,0,0,0,0,0,0,0,10,10,"86,378"
1221,202129761,2021,33592,631,In-Person Delivery,28027,0,1,2,0,0,0,0,0,1,1,0,5,"77,367"
1222,202250601,2022,26504,681,In-Person Delivery with Donation,28104,0,0,0,0,0,0,0,0,2,0,2,4,"108,599"
1223,202229009,2022,4511,631,In-Person Delivery,28227,0,0,0,0,0,3,0,0,0,0,0,3,"63,529"
1224,202133265,2021,24807,683,Shipped,11713,0,0,0,0,0,0,6,0,0,0,0,6,
1225,201901020,2019,66259,649,In-Person Delivery,28226,0,1,0,2,0,0,2,1,0,0,0,6,
1226,202120147,2021,56534,649,In-Person Delivery,28205,0,0,0,0,0,1,0,2,0,0,0,3,"56,196"
1227,202221365,2022,755360,682,Cookies In Hand,28227,0,1,0,1,0,0,0,2,0,0,0,4,"63,529"
